NO.,?as,Interval,Vnit?ní teplota(°C),Vnit?ní vlhkost(%),Venkovní teplota(°C),Venkovní vlhkost(%),Relativní tlak vzduchu(hpa),Absolutní tlak vzduchu(hpa),Rychlost v?tru(m/s),Nárazy v?tru(m/s),Sm?r v?tru,Rosný bod(°C),WindChill(°C),Hodinový úhrn srážek(mm),Denní úhrn srážek(mm),Týdenní úhrn srážek(mm),M?sí?ní úhrn srážek(mm),Celkový úhrn srážek(mm)
3013, 01.08.2020 0:11:56,14, 21.3,57, 14.0,67, 1020.1, 963.4, 0.0, 0.0, E, 8.0, 14.0, 0.00, 0.00, 4.50, 0.00, 46.20
3014, 01.08.2020 0:25:56,14, 21.3,57, 13.6,69, 1020.1, 963.4, 0.0, 0.0, E, 8.0, 13.6, 0.00, 0.00, 4.50, 0.00, 46.20
3015, 01.08.2020 0:39:56,14, 21.2,56, 13.2,70, 1020.0, 963.3, 0.0, 0.0, S, 7.9, 13.2, 0.00, 0.00, 4.50, 0.00, 46.20
3016, 01.08.2020 0:53:56,14, 21.1,56, 13.0,71, 1020.0, 963.3, 0.0, 0.0, S, 7.9, 13.0, 0.00, 0.00, 4.50, 0.00, 46.20
3017, 01.08.2020 1:07:56,14, 21.0,56, 12.9,71, 1020.1, 963.4, 0.0, 0.0, S, 7.8, 12.9, 0.00, 0.00, 4.50, 0.00, 46.20
3018, 01.08.2020 1:21:56,14, 20.9,56, 12.7,72, 1019.8, 963.1, 0.0, 0.0, S, 7.8, 12.7, 0.00, 0.00, 4.50, 0.00, 46.20
3019, 01.08.2020 1:35:56,14, 20.8,56, 12.5,73, 1019.9, 963.2, 0.0, 0.0, S, 7.8, 12.5, 0.00, 0.00, 4.50, 0.00, 46.20
3020, 01.08.2020 1:49:56,14, 20.7,56, 12.3,73, 1019.8, 963.1, 0.0, 0.0, S, 7.6, 12.3, 0.00, 0.00, 4.50, 0.00, 46.20
3021, 01.08.2020 2:03:56,14, 20.7,56, 12.1,73, 1019.9, 963.2, 0.0, 0.0, S, 7.4, 12.1, 0.00, 0.00, 4.50, 0.00, 46.20
3022, 01.08.2020 2:17:56,14, 20.6,56, 12.0,74, 1019.8, 963.1, 0.0, 0.0, S, 7.5, 12.0, 0.00, 0.00, 4.50, 0.00, 46.20
3023, 01.08.2020 2:31:56,14, 20.6,56, 11.4,74, 1019.9, 963.2, 0.0, 0.0, S, 6.9, 11.4, 0.00, 0.00, 4.50, 0.00, 46.20
3024, 01.08.2020 2:45:56,14, 20.6,56, 11.2,75, 1019.9, 963.2, 0.0, 0.0, S, 6.9, 11.2, 0.00, 0.00, 4.50, 0.00, 46.20
3025, 01.08.2020 2:59:56,14, 20.5,55, 11.1,76, 1019.7, 963.0, 0.0, 0.0, S, 7.0, 11.1, 0.00, 0.00, 4.50, 0.00, 46.20
3026, 01.08.2020 3:13:56,14, 20.3,55, 11.1,77, 1019.6, 962.9, 0.0, 0.0, S, 7.2, 11.1, 0.00, 0.00, 4.50, 0.00, 46.20
3027, 01.08.2020 3:27:56,14, 20.2,55, 10.9,77, 1019.6, 962.9, 0.0, 0.0, S, 7.0, 10.9, 0.00, 0.00, 4.50, 0.00, 46.20
3028, 01.08.2020 3:41:56,14, 20.1,55, 10.7,77, 1019.7, 963.0, 0.0, 0.0, S, 6.8, 10.7, 0.00, 0.00, 4.50, 0.00, 46.20
3029, 01.08.2020 3:55:56,14, 20.0,55, 10.6,78, 1019.5, 962.8, 0.0, 0.0, S, 6.9, 10.6, 0.00, 0.00, 4.50, 0.00, 46.20
3030, 01.08.2020 4:09:56,14, 20.0,55, 10.4,78, 1019.6, 962.9, 0.0, 0.0, S, 6.7, 10.4, 0.00, 0.00, 4.50, 0.00, 46.20
3031, 01.08.2020 4:23:56,14, 19.9,55, 10.3,78, 1019.7, 963.0, 0.0, 0.0, S, 6.6, 10.3, 0.00, 0.00, 4.50, 0.00, 46.20
3032, 01.08.2020 4:37:56,14, 19.8,55, 10.1,79, 1019.6, 962.9, 0.0, 0.0, S, 6.6, 10.1, 0.00, 0.00, 4.50, 0.00, 46.20
3033, 01.08.2020 4:51:56,14, 19.8,55, 10.0,79, 1019.6, 962.9, 0.0, 0.0, S, 6.5, 10.0, 0.00, 0.00, 4.50, 0.00, 46.20
3034, 01.08.2020 5:05:56,14, 19.7,55, 9.8,79, 1019.7, 963.0, 0.0, 0.0, S, 6.3, 9.8, 0.00, 0.00, 4.50, 0.00, 46.20
3035, 01.08.2020 5:19:56,14, 19.6,55, 9.7,79, 1019.7, 963.0, 0.0, 0.0, S, 6.2, 9.7, 0.00, 0.00, 4.50, 0.00, 46.20
3036, 01.08.2020 5:33:56,14, 19.5,54, 9.5,80, 1019.8, 963.1, 0.0, 0.0, S, 6.2, 9.5, 0.00, 0.00, 4.50, 0.00, 46.20
3037, 01.08.2020 5:47:56,14, 19.5,55, 9.5,80, 1020.0, 963.3, 0.0, 0.0, S, 6.2, 9.5, 0.00, 0.00, 4.50, 0.00, 46.20
3038, 01.08.2020 6:01:56,14, 19.4,54, 9.4,80, 1020.0, 963.3, 0.0, 0.0, S, 6.1, 9.4, 0.00, 0.00, 4.50, 0.00, 46.20
3039, 01.08.2020 6:15:56,14, 19.4,55, 9.4,81, 1020.2, 963.5, 0.0, 0.0, S, 6.3, 9.4, 0.00, 0.00, 4.50, 0.00, 46.20
3040, 01.08.2020 6:29:56,14, 19.3,54, 9.6,81, 1020.2, 963.5, 0.0, 0.0, S, 6.5, 9.6, 0.00, 0.00, 4.50, 0.00, 46.20
3041, 01.08.2020 6:43:56,14, 19.3,55, 9.8,82, 1020.2, 963.5, 0.0, 0.0, S, 6.9, 9.8, 0.00, 0.00, 4.50, 0.00, 46.20
3042, 01.08.2020 6:57:56,14, 19.3,55, 12.9,82, 1020.1, 963.4, 0.0, 0.0, S, 9.9, 12.9, 0.00, 0.00, 4.50, 0.00, 46.20
3043, 01.08.2020 7:11:56,14, 19.3,55, 15.5,76, 1020.0, 963.3, 0.0, 0.0, S, 11.3, 15.5, 0.00, 0.00, 4.50, 0.00, 46.20
3044, 01.08.2020 7:25:56,14, 19.4,55, 15.4,71, 1020.1, 963.4, 0.0, 0.0, S, 10.2, 15.4, 0.00, 0.00, 4.50, 0.00, 46.20
3045, 01.08.2020 7:39:56,14, 19.5,55, 14.4,70, 1019.9, 963.2, 0.0, 0.0, NE, 9.0, 14.4, 0.00, 0.00, 4.50, 0.00, 46.20
3046, 01.08.2020 7:53:56,14, 19.6,55, 14.5,71, 1019.9, 963.2, 0.0, 0.0, NE, 9.3, 14.5, 0.00, 0.00, 4.50, 0.00, 46.20
3047, 01.08.2020 8:07:56,14, 19.7,55, 15.0,70, 1019.8, 963.1, 0.0, 0.0, NE, 9.6, 15.0, 0.00, 0.00, 4.50, 0.00, 46.20
3048, 01.08.2020 8:21:56,14, 19.8,56, 15.5,69, 1019.8, 963.1, 0.0, 0.0, NE, 9.9, 15.5, 0.00, 0.00, 4.50, 0.00, 46.20
3049, 01.08.2020 8:35:56,14, 19.9,56, 16.2,67, 1019.8, 963.1, 0.0, 0.0, NE, 10.1, 16.2, 0.00, 0.00, 4.50, 0.00, 46.20
3050, 01.08.2020 8:49:56,14, 20.0,56, 16.9,65, 1019.7, 963.0, 0.0, 0.0, NE, 10.3, 16.9, 0.00, 0.00, 4.50, 0.00, 46.20
3051, 01.08.2020 9:03:56,14, 20.1,56, 17.7,61, 1019.6, 962.9, 0.0, 0.0, W, 10.1, 17.7, 0.00, 0.00, 4.50, 0.00, 46.20
3052, 01.08.2020 9:17:56,14, 20.2,56, 18.0,60, 1019.6, 962.9, 0.0, 0.0, W, 10.1, 18.0, 0.00, 0.00, 4.50, 0.00, 46.20
3053, 01.08.2020 9:31:56,14, 20.3,56, 19.2,58, 1019.5, 962.8, 0.0, 0.0, NW, 10.8, 19.2, 0.00, 0.00, 4.50, 0.00, 46.20
