NO.,?as,Interval,Vnit?ní teplota(°C),Vnit?ní vlhkost(%),Venkovní teplota(°C),Venkovní vlhkost(%),Relativní tlak vzduchu(hpa),Absolutní tlak vzduchu(hpa),Rychlost v?tru(m/s),Nárazy v?tru(m/s),Sm?r v?tru,Rosný bod(°C),WindChill(°C),Hodinový úhrn srážek(mm),Denní úhrn srážek(mm),Týdenní úhrn srážek(mm),M?sí?ní úhrn srážek(mm),Celkový úhrn srážek(mm)
2846, 01.09.2020 0:03:30,14, 21.7,64, 13.7,91, 1014.9, 958.2, 0.0, 0.0, SW, 12.3, 13.7, 0.30, 0.30, 10.20, 0.30, 68.40
2847, 01.09.2020 0:17:30,14, 21.7,64, 13.7,91, 1014.5, 957.8, 0.0, 0.0, SW, 12.3, 13.7, 0.30, 0.30, 10.20, 0.30, 68.40
2848, 01.09.2020 0:31:30,14, 21.6,64, 13.6,92, 1014.3, 957.6, 0.0, 0.0, SW, 12.3, 13.6, 0.30, 0.30, 10.20, 0.30, 68.40
2849, 01.09.2020 0:45:30,14, 21.6,63, 13.6,92, 1013.9, 957.2, 0.0, 0.0, SW, 12.3, 13.6, 0.60, 0.60, 10.50, 0.60, 68.70
2850, 01.09.2020 0:59:30,14, 21.6,63, 13.6,93, 1013.2, 956.5, 0.0, 0.0, SW, 12.5, 13.6, 0.60, 0.60, 10.50, 0.60, 68.70
2851, 01.09.2020 1:13:30,14, 21.6,63, 13.5,93, 1013.0, 956.3, 0.0, 0.0, SW, 12.4, 13.5, 0.00, 0.60, 10.50, 0.60, 68.70
2852, 01.09.2020 1:27:30,14, 21.6,63, 13.5,93, 1013.3, 956.6, 0.0, 0.0, SW, 12.4, 13.5, 0.00, 0.60, 10.50, 0.60, 68.70
2853, 01.09.2020 1:41:30,14, 21.6,63, 13.4,94, 1013.3, 956.6, 0.0, 0.0, SW, 12.5, 13.4, 0.30, 0.90, 10.80, 0.90, 69.00
2854, 01.09.2020 1:55:30,14, 21.6,63, 13.4,94, 1013.6, 956.9, 0.0, 0.0, SW, 12.5, 13.4, 0.30, 0.90, 10.80, 0.90, 69.00
2855, 01.09.2020 2:09:30,14, 21.6,63, 13.4,94, 1013.8, 957.1, 0.0, 0.0, SW, 12.5, 13.4, 0.00, 0.90, 10.80, 0.90, 69.00
