NO.,?as,Interval,Vnit?ní teplota(°C),Vnit?ní vlhkost(%),Venkovní teplota(°C),Venkovní vlhkost(%),Relativní tlak vzduchu(hpa),Absolutní tlak vzduchu(hpa),Rychlost v?tru(m/s),Nárazy v?tru(m/s),Sm?r v?tru,Rosný bod(°C),WindChill(°C),Hodinový úhrn srážek(mm),Denní úhrn srážek(mm),Týdenní úhrn srážek(mm),M?sí?ní úhrn srážek(mm),Celkový úhrn srážek(mm)
2696, 01.10.2020 0:07:50,14, 19.9,72, 12.0,99, 1009.5, 952.8, 0.0, 0.0, W, 11.9, 12.0, 0.00, 0.00, 13.50, 0.00, 79.50
2697, 01.10.2020 0:21:50,14, 19.9,72, 12.0,99, 1009.5, 952.8, 0.0, 0.0, W, 11.9, 12.0, 0.00, 0.00, 13.50, 0.00, 79.50
2698, 01.10.2020 0:35:50,14, 19.8,71, 12.0,99, 1009.4, 952.7, 0.0, 0.0, SW, 11.9, 12.0, 0.30, 0.30, 13.80, 0.30, 79.80
2699, 01.10.2020 0:49:50,14, 19.8,71, 12.0,99, 1009.4, 952.7, 0.0, 0.0, ---, 11.9, 12.0, 0.30, 0.30, 13.80, 0.30, 79.80
2700, 01.10.2020 1:03:50,14, 19.8,71, 12.0,99, 1009.1, 952.4, 0.0, 0.0, N, 11.9, 12.0, 0.00, 0.30, 13.80, 0.30, 79.80
2701, 01.10.2020 1:17:50,14, 19.8,71, 11.9,99, 1008.9, 952.2, 0.3, 2.4, SW, 11.8, 11.9, 0.30, 0.60, 14.10, 0.60, 80.10
2702, 01.10.2020 1:31:50,14, 19.8,71, 11.9,99, 1008.9, 952.2, 0.0, 0.0, NW, 11.8, 11.9, 0.30, 0.60, 14.10, 0.60, 80.10
2703, 01.10.2020 1:45:50,14, 19.8,71, 11.9,99, 1008.7, 952.0, 0.0, 0.0, NW, 11.8, 11.9, 0.60, 0.90, 14.40, 0.90, 80.40
2704, 01.10.2020 1:59:50,14, 19.8,71, 11.9,99, 1008.6, 951.9, 0.0, 0.0, NW, 11.8, 11.9, 0.60, 0.90, 14.40, 0.90, 80.40
2705, 01.10.2020 2:13:50,14, 19.8,71, 11.9,99, 1008.5, 951.8, 0.0, 0.0, NW, 11.8, 11.9, 0.00, 0.90, 14.40, 0.90, 80.40
2706, 01.10.2020 2:27:50,14, 19.8,71, 11.9,99, 1008.4, 951.7, 0.0, 0.0, NW, 11.8, 11.9, 0.30, 1.20, 14.70, 1.20, 80.70
2707, 01.10.2020 2:41:50,14, 19.8,71, 11.9,99, 1008.2, 951.5, 0.0, 0.0, NW, 11.8, 11.9, 0.30, 1.20, 14.70, 1.20, 80.70
2708, 01.10.2020 2:55:50,14, 19.8,71, 11.9,99, 1008.2, 951.5, 0.0, 0.0, NW, 11.8, 11.9, 0.30, 1.20, 14.70, 1.20, 80.70
2709, 01.10.2020 3:09:50,14, 19.8,71, 11.8,99, 1008.2, 951.5, 0.0, 1.4, NW, 11.7, 11.8, 0.00, 1.20, 14.70, 1.20, 80.70
2710, 01.10.2020 3:23:50,14, 19.8,71, 11.8,99, 1008.1, 951.4, 0.0, 1.0, W, 11.7, 11.8, 0.30, 1.50, 15.00, 1.50, 81.00
2711, 01.10.2020 3:37:50,14, 19.8,70, 11.8,99, 1008.0, 951.3, 0.0, 0.0, W, 11.7, 11.8, 0.30, 1.50, 15.00, 1.50, 81.00
2712, 01.10.2020 3:51:50,14, 19.7,70, 11.8,99, 1008.0, 951.3, 0.0, 0.0, W, 11.7, 11.8, 0.60, 1.80, 15.30, 1.80, 81.30
2713, 01.10.2020 4:05:50,14, 19.7,70, 11.8,99, 1007.9, 951.2, 0.0, 0.0, SW, 11.7, 11.8, 0.00, 1.80, 15.30, 1.80, 81.30
2714, 01.10.2020 4:19:50,14, 19.7,70, 11.8,99, 1007.9, 951.2, 0.0, 0.0, W, 11.7, 11.8, 0.00, 1.80, 15.30, 1.80, 81.30
2715, 01.10.2020 4:33:50,14, 19.7,69, 11.8,99, 1007.7, 951.0, 0.0, 0.0, W, 11.7, 11.8, 0.00, 1.80, 15.30, 1.80, 81.30
2716, 01.10.2020 4:47:50,14, 19.6,69, 11.8,99, 1007.7, 951.0, 0.0, 0.0, W, 11.7, 11.8, 0.00, 1.80, 15.30, 1.80, 81.30
2717, 01.10.2020 5:01:50,14, 19.6,69, 11.8,99, 1007.8, 951.1, 0.0, 0.0, W, 11.7, 11.8, 0.00, 1.80, 15.30, 1.80, 81.30
2718, 01.10.2020 5:15:50,14, 19.6,69, 11.8,99, 1007.7, 951.0, 0.0, 0.0, W, 11.7, 11.8, 0.00, 1.80, 15.30, 1.80, 81.30
2719, 01.10.2020 5:29:50,14, 19.6,69, 11.8,99, 1007.7, 951.0, 0.0, 0.0, W, 11.7, 11.8, 0.00, 1.80, 15.30, 1.80, 81.30
2720, 01.10.2020 5:43:50,14, 19.6,69, 11.8,99, 1007.6, 950.9, 0.0, 0.0, W, 11.7, 11.8, 0.30, 2.10, 15.60, 2.10, 81.60
2721, 01.10.2020 5:57:50,14, 19.6,69, 11.9,99, 1007.6, 950.9, 0.0, 0.0, W, 11.8, 11.9, 0.30, 2.10, 15.60, 2.10, 81.60
2722, 01.10.2020 6:11:50,14, 19.6,69, 11.9,99, 1007.7, 951.0, 0.0, 0.0, W, 11.8, 11.9, 0.00, 2.10, 15.60, 2.10, 81.60
2723, 01.10.2020 6:25:50,14, 19.6,68, 12.0,99, 1007.5, 950.8, 0.0, 0.0, W, 11.9, 12.0, 0.00, 2.10, 15.60, 2.10, 81.60
2724, 01.10.2020 6:39:50,14, 19.6,68, 12.0,99, 1007.5, 950.8, 0.0, 0.0, W, 11.9, 12.0, 0.30, 2.40, 15.90, 2.40, 81.90
2725, 01.10.2020 6:53:50,14, 19.6,68, 12.0,99, 1007.4, 950.7, 0.0, 0.0, W, 11.9, 12.0, 0.30, 2.40, 15.90, 2.40, 81.90
2726, 01.10.2020 7:07:50,14, 19.6,68, 12.1,99, 1007.4, 950.7, 0.0, 0.0, W, 12.0, 12.1, 0.00, 2.40, 15.90, 2.40, 81.90
2727, 01.10.2020 7:21:50,14, 19.6,68, 12.2,99, 1007.4, 950.7, 0.0, 0.0, S, 12.1, 12.2, 0.00, 2.40, 15.90, 2.40, 81.90
2728, 01.10.2020 7:35:50,14, 19.6,68, 12.3,99, 1007.4, 950.7, 0.0, 0.0, W, 12.2, 12.3, 0.00, 2.40, 15.90, 2.40, 81.90
2729, 01.10.2020 7:49:50,14, 19.6,68, 12.5,99, 1007.2, 950.5, 0.0, 0.0, NW, 12.4, 12.5, 0.00, 2.40, 15.90, 2.40, 81.90
2730, 01.10.2020 8:03:50,14, 19.6,68, 12.9,99, 1007.1, 950.4, 0.0, 0.0, NW, 12.8, 12.9, 0.00, 2.40, 15.90, 2.40, 81.90
2731, 01.10.2020 8:17:50,14, 19.6,67, 13.0,99, 1007.2, 950.5, 0.0, 0.0, W, 12.9, 13.0, 0.00, 2.40, 15.90, 2.40, 81.90
2732, 01.10.2020 8:31:50,14, 19.6,67, 13.1,99, 1007.1, 950.4, 0.0, 0.0, W, 13.0, 13.1, 0.00, 2.40, 15.90, 2.40, 81.90
2733, 01.10.2020 8:45:50,14, 19.6,67, 13.2,99, 1007.0, 950.3, 0.0, 1.0, W, 13.1, 13.2, 0.00, 2.40, 15.90, 2.40, 81.90
2734, 01.10.2020 8:59:50,14, 19.6,67, 13.2,99, 1007.1, 950.4, 0.0, 0.0, W, 13.1, 13.2, 0.00, 2.40, 15.90, 2.40, 81.90
2735, 01.10.2020 9:13:50,14, 19.6,67, 13.3,99, 1007.1, 950.4, 0.0, 0.0, W, 13.2, 13.3, 0.00, 2.40, 15.90, 2.40, 81.90
2736, 01.10.2020 9:27:50,14, 19.6,67, 13.5,99, 1007.0, 950.3, 0.0, 0.7, W, 13.4, 13.5, 0.00, 2.40, 15.90, 2.40, 81.90
2737, 01.10.2020 9:41:50,14, 19.6,67, 13.5,99, 1006.9, 950.2, 0.0, 0.3, W, 13.4, 13.5, 0.00, 2.40, 15.90, 2.40, 81.90
2738, 01.10.2020 9:55:50,14, 19.6,66, 13.1,99, 1006.9, 950.2, 0.0, 0.0, W, 13.0, 13.1, 0.00, 2.40, 15.90, 2.40, 81.90
2739, 01.10.2020 10:09:50,14, 19.6,66, 13.0,99, 1006.9, 950.2, 0.0, 0.0, SW, 12.9, 13.0, 0.00, 2.40, 15.90, 2.40, 81.90
2740, 01.10.2020 10:23:50,14, 19.6,66, 12.8,99, 1006.8, 950.1, 0.0, 0.0, NW, 12.7, 12.8, 0.00, 2.40, 15.90, 2.40, 81.90
2741, 01.10.2020 10:37:50,14, 19.6,66, 12.7,99, 1006.8, 950.1, 0.0, 0.0, W, 12.6, 12.7, 0.00, 2.40, 15.90, 2.40, 81.90
2742, 01.10.2020 10:51:50,14, 19.6,66, 12.7,99, 1006.7, 950.0, 0.0, 0.0, NW, 12.6, 12.7, 0.00, 2.40, 15.90, 2.40, 81.90
2743, 01.10.2020 11:05:50,14, 19.6,66, 12.9,99, 1006.6, 949.9, 0.0, 0.0, NW, 12.8, 12.9, 0.00, 2.40, 15.90, 2.40, 81.90
2744, 01.10.2020 11:19:50,14, 19.6,66, 13.0,99, 1006.5, 949.8, 0.3, 1.7, W, 12.9, 13.0, 0.30, 2.70, 16.20, 2.70, 82.20
2745, 01.10.2020 11:33:50,14, 19.6,66, 13.1,99, 1006.5, 949.8, 0.7, 2.0, W, 13.0, 13.1, 0.60, 3.00, 16.50, 3.00, 82.50
2746, 01.10.2020 11:47:50,14, 19.6,66, 13.1,99, 1006.4, 949.7, 0.7, 2.0, W, 13.0, 13.1, 0.60, 3.00, 16.50, 3.00, 82.50
2747, 01.10.2020 12:01:50,14, 19.6,66, 13.2,99, 1006.3, 949.6, 1.4, 2.7, NW, 13.1, 13.2, 0.00, 3.00, 16.50, 3.00, 82.50
2748, 01.10.2020 12:15:50,14, 19.6,66, 13.2,99, 1006.2, 949.5, 0.0, 0.7, W, 13.1, 13.2, 0.00, 3.00, 16.50, 3.00, 82.50
2749, 01.10.2020 12:29:50,14, 19.6,66, 13.1,99, 1006.1, 949.4, 0.0, 0.0, W, 13.0, 13.1, 0.00, 3.00, 16.50, 3.00, 82.50
2750, 01.10.2020 12:43:50,14, 19.6,66, 13.1,99, 1006.1, 949.4, 0.0, 0.0, W, 13.0, 13.1, 0.30, 3.30, 16.80, 3.30, 82.80
2751, 01.10.2020 12:57:50,14, 19.6,65, 13.2,99, 1006.2, 949.5, 0.0, 0.3, W, 13.1, 13.2, 0.30, 3.30, 16.80, 3.30, 82.80
2752, 01.10.2020 13:11:50,14, 19.6,65, 13.2,99, 1006.0, 949.3, 0.0, 0.0, SW, 13.1, 13.2, 0.00, 3.30, 16.80, 3.30, 82.80
2753, 01.10.2020 13:25:50,14, 19.6,65, 13.0,99, 1006.1, 949.4, 0.0, 0.7, SW, 12.9, 13.0, 0.00, 3.30, 16.80, 3.30, 82.80
2754, 01.10.2020 13:39:50,14, 19.6,65, 13.0,99, 1006.1, 949.4, 0.0, 0.0, W, 12.9, 13.0, 0.00, 3.30, 16.80, 3.30, 82.80
2755, 01.10.2020 13:53:50,14, 19.6,65, 13.0,99, 1006.1, 949.4, 0.0, 0.3, SW, 12.9, 13.0, 0.00, 3.30, 16.80, 3.30, 82.80
2756, 01.10.2020 14:07:50,14, 19.6,65, 13.0,99, 1006.1, 949.4, 0.0, 0.0, SW, 12.9, 13.0, 0.00, 3.30, 16.80, 3.30, 82.80
2757, 01.10.2020 14:21:50,14, 19.6,65, 13.3,99, 1006.0, 949.3, 0.0, 0.0, SW, 13.2, 13.3, 0.00, 3.30, 16.80, 3.30, 82.80
2758, 01.10.2020 14:35:50,14, 19.6,65, 13.3,99, 1005.9, 949.2, 0.0, 0.0, SW, 13.2, 13.3, 0.00, 3.30, 16.80, 3.30, 82.80
2759, 01.10.2020 14:49:50,14, 19.6,65, 13.3,99, 1005.8, 949.1, 0.0, 0.0, SW, 13.2, 13.3, 0.00, 3.30, 16.80, 3.30, 82.80
2760, 01.10.2020 15:03:50,14, 19.6,65, 13.2,99, 1005.9, 949.2, 0.0, 0.0, SW, 13.1, 13.2, 0.00, 3.30, 16.80, 3.30, 82.80
2761, 01.10.2020 15:17:50,14, 19.6,65, 13.1,99, 1006.0, 949.3, 0.0, 0.0, SW, 13.0, 13.1, 0.00, 3.30, 16.80, 3.30, 82.80
2762, 01.10.2020 15:31:50,14, 19.6,65, 13.0,99, 1005.9, 949.2, 0.0, 0.0, W, 12.9, 13.0, 0.00, 3.30, 16.80, 3.30, 82.80
2763, 01.10.2020 15:45:50,14, 19.6,65, 13.0,99, 1005.9, 949.2, 0.0, 0.0, W, 12.9, 13.0, 0.00, 3.30, 16.80, 3.30, 82.80
2764, 01.10.2020 15:59:50,14, 19.6,65, 12.9,99, 1005.9, 949.2, 0.0, 0.0, W, 12.8, 12.9, 0.00, 3.30, 16.80, 3.30, 82.80
2765, 01.10.2020 16:13:50,14, 19.6,65, 12.9,99, 1006.1, 949.4, 0.0, 0.0, W, 12.8, 12.9, 0.30, 3.60, 17.10, 3.60, 83.10
2766, 01.10.2020 16:27:50,14, 19.6,65, 12.7,99, 1006.0, 949.3, 0.0, 0.0, W, 12.6, 12.7, 0.30, 3.60, 17.10, 3.60, 83.10
2767, 01.10.2020 16:41:50,14, 19.6,65, 12.6,99, 1006.0, 949.3, 0.0, 0.0, W, 12.5, 12.6, 0.30, 3.60, 17.10, 3.60, 83.10
2768, 01.10.2020 16:55:50,14, 19.6,65, 12.6,99, 1006.1, 949.4, 0.0, 0.0, W, 12.5, 12.6, 0.30, 3.60, 17.10, 3.60, 83.10
2769, 01.10.2020 17:09:50,14, 19.6,65, 12.5,99, 1006.2, 949.5, 0.0, 0.0, W, 12.4, 12.5, 0.00, 3.60, 17.10, 3.60, 83.10
2770, 01.10.2020 17:23:50,14, 19.6,65, 12.4,99, 1006.2, 949.5, 0.0, 0.0, W, 12.3, 12.4, 0.00, 3.60, 17.10, 3.60, 83.10
2771, 01.10.2020 17:37:50,14, 19.6,65, 12.4,99, 1006.2, 949.5, 0.0, 0.0, W, 12.3, 12.4, 0.00, 3.60, 17.10, 3.60, 83.10
2772, 01.10.2020 17:51:50,14, 19.6,65, 12.4,99, 1006.3, 949.6, 0.0, 0.0, W, 12.3, 12.4, 0.00, 3.60, 17.10, 3.60, 83.10
2773, 01.10.2020 18:05:50,14, 19.6,65, 12.3,99, 1006.3, 949.6, 0.0, 0.0, W, 12.2, 12.3, 0.00, 3.60, 17.10, 3.60, 83.10
2774, 01.10.2020 18:19:50,14, 19.6,65, 12.2,99, 1006.3, 949.6, 0.0, 0.0, W, 12.1, 12.2, 0.30, 3.90, 17.40, 3.90, 83.40
2775, 01.10.2020 18:33:50,14, 19.6,65, 12.2,99, 1006.2, 949.5, 0.0, 0.0, W, 12.1, 12.2, 0.30, 3.90, 17.40, 3.90, 83.40
2776, 01.10.2020 18:47:50,14, 19.6,65, 12.2,99, 1006.3, 949.6, 0.0, 0.0, W, 12.1, 12.2, 0.60, 4.20, 17.70, 4.20, 83.70
2777, 01.10.2020 19:01:50,14, 19.6,65, 12.2,99, 1006.3, 949.6, 0.0, 0.0, W, 12.1, 12.2, 0.00, 4.20, 17.70, 4.20, 83.70
2778, 01.10.2020 19:15:50,14, 19.6,65, 12.2,99, 1006.5, 949.8, 0.0, 0.0, W, 12.1, 12.2, 0.30, 4.50, 18.00, 4.50, 84.00
2779, 01.10.2020 19:29:50,14, 19.6,65, 12.2,99, 1006.3, 949.6, 0.0, 0.0, W, 12.1, 12.2, 0.60, 4.80, 18.30, 4.80, 84.30
2780, 01.10.2020 19:43:50,14, 19.6,65, 12.2,99, 1006.3, 949.6, 0.0, 0.0, W, 12.1, 12.2, 0.60, 4.80, 18.30, 4.80, 84.30
2781, 01.10.2020 19:57:50,14, 19.6,66, 12.2,99, 1006.3, 949.6, 0.0, 0.0, W, 12.1, 12.2, 0.90, 5.10, 18.60, 5.10, 84.60
2782, 01.10.2020 20:11:50,14, 19.6,65, 12.1,99, 1006.4, 949.7, 0.0, 0.0, W, 12.0, 12.1, 0.30, 5.40, 18.90, 5.40, 84.90
2783, 01.10.2020 20:25:50,14, 19.6,65, 12.2,99, 1006.3, 949.6, 0.0, 0.0, W, 12.1, 12.2, 0.60, 5.70, 19.20, 5.70, 85.20
2784, 01.10.2020 20:39:50,14, 19.6,65, 12.2,99, 1006.3, 949.6, 0.0, 0.0, W, 12.1, 12.2, 0.90, 6.00, 19.50, 6.00, 85.50
