NO.,?as,Interval,Vnit?ní teplota(°C),Vnit?ní vlhkost(%),Venkovní teplota(°C),Venkovní vlhkost(%),Relativní tlak vzduchu(hpa),Absolutní tlak vzduchu(hpa),Rychlost v?tru(m/s),Nárazy v?tru(m/s),Sm?r v?tru,Rosný bod(°C),WindChill(°C),Hodinový úhrn srážek(mm),Denní úhrn srážek(mm),Týdenní úhrn srážek(mm),M?sí?ní úhrn srážek(mm),Celkový úhrn srážek(mm),
347, 01.02.2020 0:06:54,10, 20.4,43, -0.6,78, 1009.1, 962.3, 0.0, 0.0, S, -4.0, -0.6, 0.00, 0.00, 39.60, 0.00, 103.20,
348, 01.02.2020 0:16:54,10, 20.4,43, -0.6,79, 1009.1, 962.3, 0.0, 0.0, S, -3.8, -0.6, 0.00, 0.00, 39.60, 0.00, 103.20,
349, 01.02.2020 0:26:54,10, 20.4,43, -0.4,79, 1009.2, 962.4, 0.0, 0.0, S, -3.6, -0.4, 0.00, 0.00, 39.60, 0.00, 103.20,
350, 01.02.2020 0:36:54,10, 20.4,43, -0.3,80, 1009.3, 962.5, 0.0, 0.0, S, -3.3, -0.3, 0.00, 0.00, 39.60, 0.00, 103.20,
351, 01.02.2020 0:46:54,10, 20.5,44, -0.2,80, 1009.4, 962.6, 0.0, 0.0, S, -3.2, -0.2, 0.00, 0.00, 39.60, 0.00, 103.20,
352, 01.02.2020 0:56:54,10, 20.5,44, -0.3,80, 1009.6, 962.8, 0.0, 0.0, S, -3.3, -0.3, 0.00, 0.00, 39.60, 0.00, 103.20,
353, 01.02.2020 1:06:54,10, 20.6,44, -0.5,80, 1009.7, 962.9, 0.0, 0.3, S, -3.5, -0.5, 0.00, 0.00, 39.60, 0.00, 103.20,
354, 01.02.2020 1:16:54,10, 20.6,44, -0.5,80, 1009.7, 962.9, 0.0, 0.3, S, -3.5, -0.5, 0.00, 0.00, 39.60, 0.00, 103.20,
355, 01.02.2020 1:26:54,10, 20.7,44, -0.5,81, 1009.8, 963.0, 0.0, 0.0, S, -3.4, -0.5, 0.00, 0.00, 39.60, 0.00, 103.20,
356, 01.02.2020 1:36:54,10, 20.7,44, -0.6,81, 1009.8, 963.0, 0.0, 0.0, S, -3.5, -0.6, 0.00, 0.00, 39.60, 0.00, 103.20,
357, 01.02.2020 1:46:54,10, 20.8,44, -0.7,81, 1009.8, 963.0, 0.0, 0.0, S, -3.6, -0.7, 0.00, 0.00, 39.60, 0.00, 103.20,
