NO.,?as,Interval,Vnit?ní teplota(°C),Vnit?ní vlhkost(%),Venkovní teplota(°C),Venkovní vlhkost(%),Relativní tlak vzduchu(hpa),Absolutní tlak vzduchu(hpa),Rychlost v?tru(m/s),Nárazy v?tru(m/s),Sm?r v?tru,Rosný bod(°C),WindChill(°C),Hodinový úhrn srážek(mm),Denní úhrn srážek(mm),Týdenní úhrn srážek(mm),M?sí?ní úhrn srážek(mm),Celkový úhrn srážek(mm)
2494, 01.11.2020 0:07:47,14, 20.2,61, 4.9,99, 1024.6, 967.9, 0.0, 1.4, NE, 4.8, 4.9, 0.00, 0.00, 0.00, 0.00, 96.00
2495, 01.11.2020 0:21:47,14, 20.2,61, 4.8,99, 1024.7, 968.0, 0.0, 0.0, NE, 4.7, 4.8, 0.00, 0.00, 0.00, 0.00, 96.00
2496, 01.11.2020 0:35:47,14, 20.2,61, 4.8,99, 1024.5, 967.8, 0.0, 1.0, NE, 4.7, 4.8, 0.00, 0.00, 0.00, 0.00, 96.00
2497, 01.11.2020 0:49:47,14, 20.3,61, 4.5,99, 1024.5, 967.8, 1.4, 3.4, NE, 4.4, 4.5, 0.00, 0.00, 0.00, 0.00, 96.00
2498, 01.11.2020 1:03:47,14, 20.3,60, 4.4,99, 1024.6, 967.9, 0.0, 2.7, NE, 4.3, 4.4, 0.00, 0.00, 0.00, 0.00, 96.00
2499, 01.11.2020 1:17:47,14, 20.3,60, 4.3,99, 1024.6, 967.9, 0.0, 0.0, NE, 4.2, 4.3, 0.00, 0.00, 0.00, 0.00, 96.00
2500, 01.11.2020 1:31:47,14, 20.3,60, 4.2,99, 1024.5, 967.8, 1.0, 2.4, NE, 4.1, 4.2, 0.00, 0.00, 0.00, 0.00, 96.00
2501, 01.11.2020 1:45:47,14, 20.3,60, 4.0,99, 1024.4, 967.7, 0.3, 3.4, NE, 3.9, 4.0, 0.00, 0.00, 0.00, 0.00, 96.00
2502, 01.11.2020 1:59:47,14, 20.3,59, 4.0,99, 1024.2, 967.5, 0.0, 1.7, NE, 3.9, 4.0, 0.00, 0.00, 0.00, 0.00, 96.00
2503, 01.11.2020 2:13:47,14, 20.3,59, 3.8,99, 1024.2, 967.5, 0.0, 0.3, NE, 3.7, 3.8, 0.00, 0.00, 0.00, 0.00, 96.00
2504, 01.11.2020 2:27:47,14, 20.3,59, 3.7,99, 1024.1, 967.4, 0.0, 0.0, NE, 3.6, 3.7, 0.00, 0.00, 0.00, 0.00, 96.00
2505, 01.11.2020 2:41:47,14, 20.3,59, 3.5,99, 1024.2, 967.5, 0.0, 0.0, NE, 3.4, 3.5, 0.00, 0.00, 0.00, 0.00, 96.00
2506, 01.11.2020 2:55:47,14, 20.3,59, 3.3,99, 1024.3, 967.6, 0.0, 0.0, NE, 3.2, 3.3, 0.00, 0.00, 0.00, 0.00, 96.00
2507, 01.11.2020 3:09:47,14, 20.3,58, 3.1,99, 1024.1, 967.4, 0.0, 0.0, NE, 3.0, 3.1, 0.00, 0.00, 0.00, 0.00, 96.00
2508, 01.11.2020 3:23:47,14, 20.3,58, 3.0,99, 1023.9, 967.2, 0.0, 0.0, NE, 2.9, 3.0, 0.00, 0.00, 0.00, 0.00, 96.00
2509, 01.11.2020 3:37:47,14, 20.3,58, 2.9,99, 1024.0, 967.3, 0.0, 0.0, NE, 2.8, 2.9, 0.00, 0.00, 0.00, 0.00, 96.00
2510, 01.11.2020 3:51:47,14, 20.3,58, 3.0,99, 1024.0, 967.3, 0.0, 0.0, NE, 2.9, 3.0, 0.00, 0.00, 0.00, 0.00, 96.00
2511, 01.11.2020 4:05:47,14, 20.3,58, 3.3,99, 1023.7, 967.0, 0.0, 0.0, NE, 3.2, 3.3, 0.00, 0.00, 0.00, 0.00, 96.00
2512, 01.11.2020 4:19:47,14, 20.3,58, 3.6,99, 1023.7, 967.0, 0.0, 0.0, NE, 3.5, 3.6, 0.00, 0.00, 0.00, 0.00, 96.00
